세부업무(도메인),단위프로세스명(기능),기능설명,SW기능,FP유형,RET/FTR,DET,복잡도,FP점수,변경내용
approval,신청서 단건 승인반려,순차 결재 검증 후 승인 및 반려 처리와 상태 동기화 POST /api/applications/{apfMngNo}/approve,수정,EI,3,6,H,6,
approval,신청서 일괄 승인반려,복수 신청서 단일 트랜잭션 승인 및 반려 처리 POST /api/applications/bulk-approve,수정,EI,3,12,H,6,
approval,신청서 회수,결재중 신청서 회수 및 미결재 항목 무효화 POST /api/applications/{apfMngNo}/recall,수정,EI,2,4,L,3,
approval,전자결재 대시보드 조회,부서 기준 KPI와 월별 추이 및 본인 대기목록 집계 GET /api/applications/dashboard,출력,EO,2,15,A,5,
approval,결재 배지 건수 조회,사이드바 결재대기 및 기안진행중 건수 집계 GET /api/applications/approval-badge,출력,EO,1,6,L,4,
iam,사용자정보 마스터,사용자(직원) 기본정보와 인증정보 테이블 TPRMPP_CUSERI,내부논리파일,ILF,1,22,L,7,
iam,조직정보 마스터,조직(부점) 계층 정보 테이블 TPRMPP_CORGNI,내부논리파일,ILF,1,12,L,7,
iam,자격등급 및 역할 마스터,자격등급(TPRMPP_CAUTHI)과 사용자별 자격등급 매핑(TPRMPP_CROLEI),내부논리파일,ILF,2,12,L,7,
system,로그인이력 마스터,로그인과 실패 및 로그아웃 이력 테이블 TPRMPP_CLOGNH,내부논리파일,ILF,1,14,L,7,
system,갱신토큰 마스터,JWT Refresh Token 저장 테이블 TPRMPP_CRTOKM,내부논리파일,ILF,1,14,L,7,
system,SSO 외부인증 데이터,외부 ESSO 인증서버가 관리하는 토큰 검증 결과 데이터(읽기 전용),외부연계파일,EIF,1,6,L,5,
code,공통코드 마스터,공통코드 테이블 TPRMPP_CCODEM + 변경로그 CCODEML을 RET로 포함,내부논리파일,ILF,2,20,A,10,
iam,조직별 사용자 목록 조회,GET /api/users 조직코드 기준 사용자 목록 단순 조회,조회,EQ,2,10,A,4,
iam,사용자 상세 조회,GET /api/users/{eno} 사번 기준 상세정보 조회(본인 및 관리자),조회,EQ,2,17,A,4,사용자 상세 응답 필드 1개 추가로 DET 16→17
iam,사용자 이름 검색,GET /api/users/search 사용자명 부분일치 검색(자동완성),조회,EQ,2,11,A,4,
iam,전체 조직 목록 조회,GET /api/organizations 전체 조직(부점) 목록 단순 조회,조회,EQ,1,5,L,3,
iam,MFA 인증 시작,지정맥·FIDO·mOTP 공통 challenge 발급 및 표시정보 반환 POST /api/mfa/challenges,등록,EI,1,7,L,3,
iam,MFA 인증 검증,공급자 검증값 확인 후 1회용 증표 쿠키 발급 POST /api/mfa/challenges/{challengeId}/verify,수정,EI,1,5,L,3,
iam,MFA 인증 취소,사용자가 닫은 MFA 거래를 서버에서 취소 DELETE /api/mfa/challenges/{challengeId},수정,EI,0,1,L,3,
iam,OnePass MFA 인증서버 데이터,외부 OnePass FIDO 및 mOTP 인증서버가 실시간 반환하는 인증결과 데이터(읽기 전용),외부연계파일,EIF,1,5,L,5,
system,회원가입,POST /api/auth/signup 신규 사용자 계정 등록 및 비밀번호 암호화 저장,등록,EI,1,10,L,3,
system,로그인 시작,POST /api/auth/login/start 사번과 비밀번호 검증 후 MFA 로그인 대기 거래만 등록,등록,EI,2,4,L,3,
system,로그인 완료,POST /api/auth/login/complete 로그인 대기 및 MFA 증표 소비 후 JWT 쿠키 발급과 이력 기록,수정,EI,4,9,H,6,
system,토큰 갱신,POST /api/auth/refresh Refresh Token 검증과 회전 후 Access Token 재발급,수정,EI,1,5,L,3,
system,로그아웃,POST /api/auth/logout Refresh Token 폐기와 쿠키 만료 및 로그아웃 이력 기록,수정,EI,2,7,A,4,
system,개발용 사용자 목록 조회,GET /api/auth/dev/users 전환 가능한 사용자 목록 조회,조회,EQ,2,9,A,4,
system,개발용 사용자 전환,POST /api/auth/dev/switch-user 비밀번호 검증 없이 지정 사번 토큰 재발급,수정,EI,3,11,H,6,
system,본인 로그인 이력 조회,GET /api/login-history 본인 로그인 이력 최신순 조회,조회,EQ,1,10,L,3,
system,Tiptap 변수 카탈로그 조회,GET /api/tiptap-variables/metadata 카테고리와 연도 및 사업과 항목 목록 조회,조회,EQ,3,9,A,4,
system,Tiptap 변수 토큰 해석,POST /api/tiptap-variables/resolve 토큰별 값 조회와 포맷 변환 및 권한판정 파생 출력,출력,EO,3,6,A,5,
system,SSO 인증 진입,GET /sso/business SSO 시작과 복귀정보 세션 및 쿠키 저장 후 ESSO 이동,등록,EI,1,6,L,3,
system,SSO 콜백 검증,GET 및 POST /sso/checkauth 보안토큰 검증 결과를 세션에 저장,수정,EI,1,7,L,3,
system,SSO 인증결과 승격,GET /sso/loginProc 세션 인증결과 검증 후 사번 승격(agentProc 별칭 포함),수정,EI,1,6,L,3,
system,SSO 토큰 발급 완료,GET /api/auth/sso/complete 검증 사번으로 JWT 쿠키 3종 발급 후 복귀,수정,EI,3,8,H,6,
system,SSO 통합 로그아웃,GET /sso/logout 업무 세션 무효화 후 ESSO 로그아웃 이동,수정,EI,1,3,L,3,
system,인증 세션 복원 조회,GET /api/auth/session Access Token 사번 기준 사용자·권한·소속 재조회,조회,EQ,2,6,A,4,
code,코드ID 기준 공통코드 목록 조회,GET /api/ccodem/{cId} 코드ID 기준 코드 목록 단순 조회,조회,EQ,1,22,A,4,
code,공통코드 단건 조회,GET /api/ccodem/{cId}/{cdva} 코드ID와 코드값 기준 단건 조회,조회,EQ,1,23,A,4,
code,공통코드 생성,POST /api/ccodem 공통코드 신규 등록 및 캐시 무효화,등록,EI,1,16,A,4,
code,공통코드 수정,PUT /api/ccodem/{cId}/{cdva} 복합PK 기준 공통코드 수정 및 캐시 무효화,수정,EI,1,16,A,4,
code,공통코드 삭제,DELETE /api/ccodem/{cId}/{cdva} 논리 삭제 및 캐시 무효화,삭제,EI,1,6,L,3,
code,코드타입 기준 공통코드 목록 조회,GET /api/ccodem/type/{cTp} 코드타입 기준 목록 조회,조회,EQ,1,22,A,4,
code,예산 신청기간 조회,GET /api/ccodem/budget-period 공통코드에서 예산신청 시작일과 종료일 파생 산출,출력,EO,1,3,L,4,
i18n,번역 마스터(+변경로그),Clangm(TPRMPP_CLANGM) 및 변경로그 ClangmL(TPRMPP_CLANGL),내부논리파일,ILF,2,12,L,7,
i18n,대상별 번역 조회,단순 활성 번역 조회 GET /api/admin/translations/{target},조회,EQ,1,5,L,3,
i18n,대상별 번역 현황 목록,원본과 번역 병합 및 완료여부와 최신변경자 파생 GET /api/admin/translations/{target}/entries,출력,EO,3,10,A,5,
i18n,대상별 번역 저장,번역 생성 및 수정과 논리삭제 PUT /api/admin/translations/{target},등록,EI,1,5,L,3,
menu,메뉴 마스터 및 권한매핑,Cmenum(10)+BaseEntity(7)+Cmenua(1)+CmenumL 로그고유(4) 실측 / RET=메뉴기본+메뉴권한연결+메뉴변경로그,내부논리파일,ILF,3,23,A,10,
menu,라우트 카탈로그,Cmenud 자체 5필드+BaseEntity 7필드 실측 / 단일 논리그룹,내부논리파일,ILF,1,12,L,7,
log,감사 변경로그 아카이브,domain/log의 *L 테이블 35개는 개별 ILF로 잡지 않고 각 업무 마스터의 RET로 반영. CmenumL은 menu ILF의 RET에 포함하고 나머지 34개는 관리자 조회와 실시간 모니터링 대상 아카이브 데이터로서 대표 ILF 1건으로만 처리. BaseLogEntity 공통 11필드+업무 스냅샷 컬럼 합산,내부논리파일,ILF,6,51,H,15,
ai,Gemini 외부 AI 응답 데이터,외부 Google Gemini API가 관리하며 읽기 전용 실시간 호출. GeminiApiResponse 실측 8개 요소 / RET=Candidate+Content-Part+UsageMetadata,외부연계파일,EIF,3,8,L,5,
menu,관리자 메뉴 트리 조회,GET /api/admin/menus - MenuDto.Node 11필드+에러메시지 / FTR=메뉴 ILF,조회,EQ,1,13,L,3,
menu,메뉴 등록,POST /api/admin/menus - UpsertRequest 6필드+응답 mnuId+명령버튼+에러메시지 / FTR=메뉴 ILF+라우트 카탈로그 ILF,등록,EI,2,11,A,4,메뉴 등록 요청 필드 1개 추가로 DET 10→11
menu,메뉴 수정,PUT /api/admin/menus/{mnuId} - UpsertRequest 6필드+mnuId+명령버튼+에러메시지 / FTR=메뉴 ILF+라우트 카탈로그 ILF,수정,EI,2,11,A,4,메뉴 수정 요청 필드 1개 추가로 DET 10→11
menu,메뉴 논리삭제,DELETE /api/admin/menus/{mnuId} - mnuId+명령버튼+에러메시지 / 하위메뉴 존재 검증,삭제,EI,1,3,L,3,
menu,메뉴 순서 일괄변경,PATCH /api/admin/menus/reorder - orderedMnuIds+명령버튼+에러메시지,수정,EI,1,3,L,3,
menu,메뉴 상위 이동,PATCH /api/admin/menus/{mnuId}/move - mnuId+newHrkMnuId+명령버튼+에러메시지 / 순환계층 검증,수정,EI,1,4,L,3,
menu,사용자 권한필터 메뉴 트리 조회,GET /api/menus - MenuDto.Node 11필드+에러메시지 / FTR=메뉴 ILF+자격등급 ILF,조회,EQ,2,13,A,4,
menu,사용가능 라우트 목록 조회,GET /api/admin/routes - Cmenud 엔티티 12필드+에러메시지,조회,EQ,1,13,L,3,
menu,전체 라우트 목록 조회,GET /api/admin/routes/all - Cmenud 엔티티 12필드+에러메시지,조회,EQ,1,13,L,3,
menu,라우트 등록,POST /api/admin/routes - MenuDto.Route 5필드+명령버튼+에러메시지 / 경로 중복 검증,등록,EI,1,7,L,3,
menu,라우트 수정,PUT /api/admin/routes - MenuDto.Route 5필드+명령버튼+에러메시지,수정,EI,1,7,L,3,
menu,라우트 삭제,DELETE /api/admin/routes - srePth+명령버튼+에러메시지 / FTR=라우트 ILF+메뉴 ILF 사용중 검증,삭제,EI,2,3,L,3,
admin,공통코드 목록 조회(관리자),GET /api/admin/codes - CodeResponse 19필드+에러메시지 / FTR=공통코드 ILF+사용자 ILF 이름변환,조회,EQ,2,20,H,6,
admin,공통코드 등록(관리자),POST /api/admin/codes - CodeRequest 13필드+명령버튼+에러메시지,등록,EI,1,15,L,3,
admin,공통코드 수정(관리자),PUT /api/admin/codes/{cId}/{cdva} - CodeRequest 13필드+명령버튼+에러메시지 / 인라인 편집 즉시저장,수정,EI,1,15,L,3,
admin,공통코드 논리삭제(관리자),DELETE /api/admin/codes/{cId}/{cdva} - cId+cdva+sttDt+명령버튼+에러메시지,삭제,EI,1,5,L,3,
admin,공통코드 일괄 업로드,POST /api/admin/codes/bulk - CodeRequest 13필드+created+updated 건수+명령버튼+에러메시지 / Upsert,등록,EI,1,17,A,4,
admin,자격등급 목록 조회,GET /api/admin/auth-grades - AuthGradeResponse 10필드+에러메시지 / FTR=자격등급 ILF+사용자 ILF,조회,EQ,2,11,A,4,
admin,자격등급 등록,POST /api/admin/auth-grades - AuthGradeRequest 4필드+명령버튼+에러메시지 / ATH_ID 중복 검증,등록,EI,1,6,L,3,
admin,자격등급 수정,PUT /api/admin/auth-grades/{athId} - AuthGradeRequest 4필드+명령버튼+에러메시지,수정,EI,1,6,L,3,
admin,자격등급 논리삭제,DELETE /api/admin/auth-grades/{athId} - athId+명령버튼+에러메시지,삭제,EI,1,3,L,3,
admin,역할 목록 조회,GET /api/admin/roles - RoleResponse 10필드+에러메시지 / FTR=역할 ILF+사용자 ILF 이름변환,조회,EQ,2,11,A,4,
admin,역할 등록,POST /api/admin/roles - RoleRequest 3필드+명령버튼+에러메시지 / 복합키 중복 검증,등록,EI,1,5,L,3,
admin,역할 수정,PUT /api/admin/roles/{athId}/{eno} - RoleRequest 3필드+명령버튼+에러메시지,수정,EI,1,5,L,3,
admin,역할 논리삭제,DELETE /api/admin/roles/{athId}/{eno} - athId+eno+명령버튼+에러메시지,삭제,EI,1,4,L,3,
admin,사용자 목록 조회(관리자),GET /api/admin/users - UserResponse 12필드+에러메시지 / FTR=사용자 ILF+조직 ILF 팀명과 부점명,조회,EQ,2,13,A,4,
admin,사용자 등록(관리자),POST /api/admin/users - UserRequest 9필드+명령버튼+에러메시지 / ENO 중복 검증,등록,EI,1,11,L,3,
admin,사용자 수정(관리자),PUT /api/admin/users/{eno} - UserRequest 9필드+명령버튼+에러메시지 / password 포함 시 비밀번호 변경,수정,EI,1,11,L,3,
admin,사용자 논리삭제(관리자),DELETE /api/admin/users/{eno} - eno+명령버튼+에러메시지,삭제,EI,1,3,L,3,
admin,조직 목록 조회(관리자),GET /api/admin/organizations - OrgResponse 11필드+에러메시지 / FTR=조직 ILF+사용자 ILF,조회,EQ,2,12,A,4,
admin,조직 등록,POST /api/admin/organizations - OrgRequest 5필드+명령버튼+에러메시지 / 조직코드 중복 검증,등록,EI,1,7,L,3,
admin,조직 수정,PUT /api/admin/organizations/{orgC} - OrgRequest 5필드+명령버튼+에러메시지,수정,EI,1,7,L,3,
admin,조직 논리삭제,DELETE /api/admin/organizations/{orgC} - orgC+명령버튼+에러메시지,삭제,EI,1,3,L,3,
admin,로그인 이력 조회(관리자),GET /api/admin/login-history - LoginHistoryResponse 8필드+페이지 파라미터 3+에러메시지 / FTR=로그인이력 ILF+사용자 ILF,조회,EQ,2,12,A,4,
admin,JWT 갱신토큰 목록 조회,GET /api/admin/tokens - TokenResponse 5필드+에러메시지 / 토큰값 앞 20자 마스킹 파생이 개입하여 EO / FTR=토큰 ILF+사용자 ILF,출력,EO,2,6,A,5,
admin,첨부파일 목록 조회(관리자),GET /api/admin/files - FileResponse 7필드+에러메시지 / FTR=첨부파일 ILF+사용자 ILF,조회,EQ,2,8,A,4,
admin,일별 로그인 통계,GET /api/admin/dashboard/login-stats - date+count+에러메시지 / 최근 30일 집계 파생,출력,EO,1,3,L,4,
log,상세 로그 테이블 목록 조회,GET /api/admin/logs/tables - LogTableResponse 4필드+에러메시지 / 대표 감사로그 아카이브 ILF의 메타 조회로 처리,조회,EQ,1,5,L,3,
log,상세 로그 목록 조회,GET /api/admin/logs/{logKey} - 로그 테이블별 컬럼 메타 동적 파생과 사번에서 이름 변환이 개입하여 EO / FTR=감사로그 아카이브 ILF+사용자 ILF,출력,EO,2,19,A,5,
log,상세 로그 단건 조회,GET /api/admin/logs/{logKey}/{logSno} - 컬럼 메타 파생 개입으로 EO / FTR=감사로그 아카이브 ILF+사용자 ILF,출력,EO,2,14,A,5,
log,통합 실시간 로그 모니터링,GET /api/admin/realtime-logs - 35개 로그 테이블 UNION 증분 조회와 최근 5분 및 30분 분당 집계 파생으로 EO / FTR=감사로그 아카이브 대표 ILF,출력,EO,1,18,L,4,
ai,Gemini AI 응답 생성,POST /api/gemini/generate - 외부 Gemini API 실시간 호출 결과와 첨부파일 Base64 인코딩 가공이 개입하여 EO / FTR=Gemini EIF+첨부파일 ILF,출력,EO,2,9,A,5,
iam,추가인증 거래(CMFATM+CMFADM),OnePass 추가인증 거래와 로그인 대기 거래 상태를 DB에 영속,내부논리파일,ILF,2,18,L,7,신규 산정 — MFA 거래 상태를 인메모리에서 Oracle 공유 테이블로 이전
log,WAS 런타임 로그 파일,WAS 인스턴스가 유지하고 포털은 읽기만 하는 런타임 로그 파일,외부연계파일,EIF,1,7,L,5,신규 산정 — WAS 로그 뷰어 도입
budget,정보화사업 이력 조회,관리번호의 최종본·과거본·재신청 초안 이력 조회,조회,EQ,2,86,H,6,신규 산정 — 수정 후 재신청 이력 조회 도입
budget,정보화사업 개정본 상세 조회,관리번호와 순번으로 과거본 또는 재신청 초안 상세 조회,조회,EQ,2,105,H,6,신규 산정 — 수정 후 재신청 개정본 조회 도입
budget,정보화사업 재상신 초안 생성,결재완료 최종본을 다음 순번의 비최종 초안으로 복제,등록,EI,3,4,A,4,신규 산정 — 수정 후 재신청 도입
budget,전산업무비 이력 조회,전산업무비 관리번호의 개정 이력 조회,조회,EQ,2,49,H,6,신규 산정 — 전산업무비 재상신 이력 조회 도입
budget,전산업무비 재상신 초안 생성,결재완료본을 다음 예산일련번호의 미상신 초안으로 복제,등록,EI,3,4,A,4,신규 산정 — 전산업무비 재상신 도입
budget,단말기 서비스명 목록 조회,단말기종류 코드별 기존 서비스명 후보 조회,조회,EQ,2,2,L,3,신규 산정 — 단말기 서비스명 입력 보조 도입
budget,사업 검색 디렉터리 조회,전 직원에게 노출하는 활성 사업의 안전한 검색 요약 조회,조회,EQ,2,9,A,4,신규 산정 — 전 직원 사업 검색 도입
budget,사업 담당자 안내 조회,접근 제한 화면에 표시할 사업 담당 부서·담당자 요약 조회,조회,EQ,2,10,A,4,신규 산정 — 접근 제한 안내 도입
budget,예산작성 카드 참고사항 조회,예산작성 화면 카드별 참고사항 조회,조회,EQ,1,2,L,3,신규 산정 — 예산작성 카드 참고사항 도입
budget,예산작성 카드 참고사항 저장,카드 유형별 참고사항 본문 저장,등록,EI,1,3,L,3,신규 산정 — 예산작성 카드 참고사항 도입
budget,사업 입력 길라잡이 조회,사업 입력 폼 필드별 게시된 길라잡이 본문 조회,조회,EQ,1,4,L,3,신규 산정 — 입력 길라잡이 도입
admin,사업 입력 길라잡이 카탈로그 조회,고정 필드 카탈로그와 등록 문서를 병합한 관리 목록 산출,출력,EO,1,7,L,4,신규 산정 — 입력 길라잡이 관리 화면 도입
admin,사업 입력 길라잡이 저장,길라잡이 HTML 본문 등록 및 갱신,등록,EI,1,3,L,3,신규 산정 — 입력 길라잡이 관리 화면 도입
admin,사업 입력 길라잡이 삭제,길라잡이 게시 해제,삭제,EI,1,1,L,3,신규 산정 — 입력 길라잡이 관리 화면 도입
approval,본인 결재 대기 신청서 조회,결재중이면서 본인 결재선이 미처리인 신청서 최신순 조회,조회,EQ,3,23,H,6,신규 산정 — 결재함 대기 목록 분리
approval,전자결재 Home 목록 조회,인증 사용자의 결재함과 기안함을 상태별로 분류 산출,출력,EO,3,12,A,5,신규 산정 — Home 결재함 도입
approval,결재라인 자동지정 제안,국내점포 기안자의 1차·2차 결재자를 직위코드로 추론,출력,EO,3,17,A,5,신규 산정 — 결재라인 자동지정 도입
approval,미결재 결재자 변경,대기 중인 결재 순번의 담당자 교체,수정,EI,2,4,L,3,신규 산정 — 결재선 편집 도입
approval,추가 결재자 등록,결재중 신청서의 결재선 마지막에 결재자 추가,등록,EI,2,3,L,3,신규 산정 — 결재선 편집 도입
approval,미결재 결재선 일괄 변경,결재 완료자를 고정하고 미결재 결재자 전체 교체,수정,EI,2,6,A,4,신규 산정 — 결재선 편집 도입
approval,미결재 결재자 순서 변경,승인 완료자를 고정하고 미결재 결재자 순서만 변경,수정,EI,2,3,L,3,신규 산정 — 결재선 편집 도입
approval,추가 결재자 삭제,결재중 신청서의 미결재 추가 결재자 삭제,삭제,EI,2,2,L,3,신규 산정 — 결재선 편집 도입
system,공통 안내 팝업 조회,게시 중인 공통 안내 팝업 본문 조회,조회,EQ,1,3,L,3,신규 산정 — 공통 안내 팝업 도입
admin,공통 안내 팝업 관리자 조회,현재 팝업 등록 상태 조회,조회,EQ,1,3,L,3,신규 산정 — 공통 안내 팝업 도입
admin,공통 안내 팝업 저장,팝업 본문 최초 등록 및 갱신,등록,EI,1,4,L,3,신규 산정 — 공통 안내 팝업 도입
admin,공통 안내 팝업 게시 중지,현재 팝업 게시 중지,수정,EI,1,1,L,3,신규 산정 — 공통 안내 팝업 도입
system,사업 전결권 안내 조회,사업 작성·조회 화면의 전결권 안내 본문 조회,조회,EQ,1,3,L,3,신규 산정 — 전결권 안내 도입
admin,사업 전결권 안내 관리자 조회,전결권 안내 등록 상태 조회,조회,EQ,1,3,L,3,신규 산정 — 전결권 안내 도입
admin,사업 전결권 안내 저장,전결권 안내 본문 등록 및 갱신,등록,EI,1,4,L,3,신규 산정 — 전결권 안내 도입
system,스피드다이얼 담당자 정보 조회,스피드다이얼 담당자 정보 본문 조회,조회,EQ,1,2,L,3,신규 산정 — 스피드다이얼 도입
system,스피드다이얼 FAQ 조회,스피드다이얼 전용 FAQ 게시물 목록 조회,조회,EQ,2,4,L,3,신규 산정 — 스피드다이얼 도입
system,스피드다이얼 문의 등록,화면 컨텍스트를 담아 문의 게시물 등록과 알림 발송,등록,EI,3,7,H,6,신규 산정 — 스피드다이얼 도입
admin,담당자 정보 조회,스피드다이얼 담당자 정보 관리자 조회,조회,EQ,1,2,L,3,신규 산정 — 스피드다이얼 관리 화면 도입
admin,담당자 정보 저장,스피드다이얼 담당자 정보 본문 저장,등록,EI,1,3,L,3,신규 산정 — 스피드다이얼 관리 화면 도입
system,현재 사용자가이드 조회,현재 지정된 사용자가이드 파일 메타 조회,조회,EQ,1,7,L,3,신규 산정 — 사용자가이드 관리 도입
admin,사용자가이드 목록 조회,업로드된 사용자가이드 전체 목록 조회,조회,EQ,1,7,L,3,신규 산정 — 사용자가이드 관리 도입
admin,사용자가이드 업로드,사용자가이드 파일 업로드,등록,EI,1,8,L,3,신규 산정 — 사용자가이드 관리 도입
admin,사용자가이드 현재 지정,현재 가이드 지정 및 해제,수정,EI,1,9,L,3,신규 산정 — 사용자가이드 관리 도입
system,활성 배너 목록 조회,메인 화면에 노출할 활성 배너 목록 조회,조회,EQ,1,8,L,3,신규 산정 — 배너 관리 도입
admin,배너 목록 조회,비활성 포함 전체 배너 목록 조회,조회,EQ,1,8,L,3,신규 산정 — 배너 관리 도입
admin,배너 업로드,배너 이미지 업로드,등록,EI,1,10,L,3,신규 산정 — 배너 관리 도입
admin,배너 활성 상태 변경,배너 노출 여부 변경,수정,EI,1,10,L,3,신규 산정 — 배너 관리 도입
admin,배너 미리보기,관리자 배너 이미지 미리보기,조회,EQ,1,2,L,3,신규 산정 — 배너 관리 도입
admin,공통 데이터 내보내기,메뉴·메뉴권한·경로·공통코드·다국어 5종 전량 추출,출력,EO,4,35,H,7,신규 산정 — 개발에서 운영으로 공통 데이터 이관 도입
admin,공통 데이터 이관 반영,5종 업로드본을 검증하고 추가·변경·복구 건수를 산출해 반영,수정,EI,4,40,H,6,신규 산정 — 개발에서 운영으로 공통 데이터 이관 도입
admin,WAS 로그 조회,인스턴스별 런타임 로그를 조건 필터링해 병합 조회,출력,EO,1,12,L,4,신규 산정 — WAS 로그 뷰어 도입
admin,WAS 로그 다운로드,조회 조건에 해당하는 로그 파일 내려받기,조회,EQ,1,5,L,3,신규 산정 — WAS 로그 뷰어 도입
admin,WAS 인스턴스 목록 조회,로그 조회 대상 WAS 인스턴스 목록 조회,조회,EQ,1,3,L,3,신규 산정 — WAS 로그 뷰어 도입
admin,WAS 로그 레벨 변경,런타임 로그 레벨 임시 변경,수정,EI,1,4,L,3,신규 산정 — WAS 로그 뷰어 도입
file,게시판 첨부파일 ZIP 다운로드,읽기 권한 있는 게시물의 첨부파일을 단일 ZIP으로 압축,출력,EO,3,4,L,4,신규 산정 — 첨부파일 일괄 내려받기 도입
file,편성요청서 반입 원본 ZIP 다운로드,반입 원본을 폴더 구조를 유지한 ZIP으로 압축,출력,EO,3,4,L,4,신규 산정 — 반입 원본 일괄 내려받기 도입
menu,준비중 화면 안내 조회,준비중 경로의 안내 문구 조회,조회,EQ,1,3,L,3,신규 산정 — 준비중 화면 공통 안내 도입
admin,역할 엑셀 조회,검색·정렬 조건에 맞는 역할 전량 조회,출력,EO,2,12,A,5,신규 산정 — 역할 엑셀 내보내기 도입
admin,사용자 엑셀 조회,검색·정렬 조건에 맞는 사용자 전량 조회,출력,EO,2,14,A,5,직전 산정 누락 보완 — 기능은 이전부터 존재
