세부업무(도메인),단위프로세스명(기능),기능설명,FP유형,RET/FTR,DET,복잡도,FP점수,변경내용
system,개발용 사용자 목록 조회,GET /api/auth/dev/users 전환 가능한 사용자 목록 조회,EQ,2,9,Average,4,
system,개발용 사용자 전환,POST /api/auth/dev/switch-user 비밀번호 검증 없이 지정 사번 토큰 재발급,EI,3,11,High,6,
system,본인 로그인 이력 조회,GET /api/login-history 본인 로그인 이력 최신순 조회,EQ,1,10,Low,3,
system,Tiptap 변수 카탈로그 조회,GET /api/tiptap-variables/metadata 카테고리와 연도 및 사업과 항목 목록 조회,EQ,3,9,Average,4,
system,Tiptap 변수 토큰 해석,POST /api/tiptap-variables/resolve 토큰별 값 조회와 포맷 변환 및 권한판정 파생 출력,EO,3,6,Average,5,
system,SSO 인증 진입,GET /sso/business SSO 시작과 복귀정보 세션 및 쿠키 저장 후 ESSO 이동,EI,1,6,Low,3,
system,SSO 콜백 검증,GET 및 POST /sso/checkauth 보안토큰 검증 결과를 세션에 저장,EI,1,7,Low,3,
system,SSO 인증결과 승격,GET /sso/loginProc 세션 인증결과 검증 후 사번 승격(agentProc 별칭 포함),EI,1,6,Low,3,
system,SSO 토큰 발급 완료,GET /api/auth/sso/complete 검증 사번으로 JWT 쿠키 3종 발급 후 복귀,EI,3,8,High,6,
system,SSO 통합 로그아웃,GET /sso/logout 업무 세션 무효화 후 ESSO 로그아웃 이동,EI,1,3,Low,3,
system,인증 세션 복원 조회,GET /api/auth/session Access Token 사번 기준 사용자·권한·소속 재조회,EQ,2,6,Average,4,
code,코드ID 기준 공통코드 목록 조회,GET /api/ccodem/{cId} 코드ID 기준 코드 목록 단순 조회,EQ,1,22,Average,4,
code,공통코드 단건 조회,GET /api/ccodem/{cId}/{cdva} 코드ID와 코드값 기준 단건 조회,EQ,1,23,Average,4,
code,공통코드 생성,POST /api/ccodem 공통코드 신규 등록 및 캐시 무효화,EI,1,16,Average,4,
code,공통코드 수정,PUT /api/ccodem/{cId}/{cdva} 복합PK 기준 공통코드 수정 및 캐시 무효화,EI,1,16,Average,4,
code,공통코드 삭제,DELETE /api/ccodem/{cId}/{cdva} 논리 삭제 및 캐시 무효화,EI,1,6,Low,3,
code,코드타입 기준 공통코드 목록 조회,GET /api/ccodem/type/{cTp} 코드타입 기준 목록 조회,EQ,1,22,Average,4,
code,예산 신청기간 조회,GET /api/ccodem/budget-period 공통코드에서 예산신청 시작일과 종료일 파생 산출,EO,1,3,Low,4,
menu,메뉴 마스터 및 권한매핑,Cmenum(10)+BaseEntity(7)+Cmenua(1)+CmenumL 로그고유(4) 실측 / RET=메뉴기본+메뉴권한연결+메뉴변경로그,ILF,3,23,Average,10,CMENUM에 아이콘명(IMK_NM) 컬럼 추가로 DET 22→23
menu,라우트 카탈로그,Cmenud 자체 5필드+BaseEntity 7필드 실측 / 단일 논리그룹,ILF,1,12,Low,7,
log,감사 변경로그 아카이브,domain/log의 *L 테이블 35개는 개별 ILF로 잡지 않고 각 업무 마스터의 RET로 반영. CmenumL은 menu ILF의 RET에 포함하고 나머지 34개는 관리자 조회와 실시간 모니터링 대상 아카이브 데이터로서 대표 ILF 1건으로만 처리. BaseLogEntity 공통 11필드+업무 스냅샷 컬럼 합산,ILF,6,51,High,15,
ai,Gemini 외부 AI 응답 데이터,외부 Google Gemini API가 관리하며 읽기 전용 실시간 호출. GeminiApiResponse 실측 8개 요소 / RET=Candidate+Content-Part+UsageMetadata,EIF,3,8,Low,5,
menu,관리자 메뉴 트리 조회,GET /api/admin/menus - MenuDto.Node 11필드+에러메시지 / FTR=메뉴 ILF,EQ,1,13,Low,3,MenuDto.Node에 아이콘명(imkNm) 추가로 DET 12→13
menu,메뉴 등록,POST /api/admin/menus - UpsertRequest 6필드+응답 mnuId+명령버튼+에러메시지 / FTR=메뉴 ILF+라우트 카탈로그 ILF,EI,2,10,Average,4,MenuDto.UpsertRequest에 아이콘명(imkNm) 추가로 DET 9→10
menu,메뉴 수정,PUT /api/admin/menus/{mnuId} - UpsertRequest 6필드+mnuId+명령버튼+에러메시지 / FTR=메뉴 ILF+라우트 카탈로그 ILF,EI,2,10,Average,4,MenuDto.UpsertRequest에 아이콘명(imkNm) 추가로 DET 9→10
menu,메뉴 논리삭제,DELETE /api/admin/menus/{mnuId} - mnuId+명령버튼+에러메시지 / 하위메뉴 존재 검증,EI,1,3,Low,3,
menu,메뉴 순서 일괄변경,PATCH /api/admin/menus/reorder - orderedMnuIds+명령버튼+에러메시지,EI,1,3,Low,3,
menu,메뉴 상위 이동,PATCH /api/admin/menus/{mnuId}/move - mnuId+newHrkMnuId+명령버튼+에러메시지 / 순환계층 검증,EI,1,4,Low,3,
menu,사용자 권한필터 메뉴 트리 조회,GET /api/menus - MenuDto.Node 11필드+에러메시지 / FTR=메뉴 ILF+자격등급 ILF,EQ,2,13,Average,4,MenuDto.Node에 아이콘명(imkNm) 추가로 DET 12→13
menu,사용가능 라우트 목록 조회,GET /api/admin/routes - Cmenud 엔티티 12필드+에러메시지,EQ,1,13,Low,3,
menu,전체 라우트 목록 조회,GET /api/admin/routes/all - Cmenud 엔티티 12필드+에러메시지,EQ,1,13,Low,3,
menu,라우트 등록,POST /api/admin/routes - MenuDto.Route 5필드+명령버튼+에러메시지 / 경로 중복 검증,EI,1,7,Low,3,
menu,라우트 수정,PUT /api/admin/routes - MenuDto.Route 5필드+명령버튼+에러메시지,EI,1,7,Low,3,
menu,라우트 삭제,DELETE /api/admin/routes - srePth+명령버튼+에러메시지 / FTR=라우트 ILF+메뉴 ILF 사용중 검증,EI,2,3,Low,3,
admin,공통코드 목록 조회(관리자),GET /api/admin/codes - CodeResponse 19필드+에러메시지 / FTR=공통코드 ILF+사용자 ILF 이름변환,EQ,2,20,High,6,
admin,공통코드 등록(관리자),POST /api/admin/codes - CodeRequest 13필드+명령버튼+에러메시지,EI,1,15,Low,3,
admin,공통코드 수정(관리자),PUT /api/admin/codes/{cId}/{cdva} - CodeRequest 13필드+명령버튼+에러메시지 / 인라인 편집 즉시저장,EI,1,15,Low,3,
admin,공통코드 논리삭제(관리자),DELETE /api/admin/codes/{cId}/{cdva} - cId+cdva+sttDt+명령버튼+에러메시지,EI,1,5,Low,3,
admin,공통코드 일괄 업로드,POST /api/admin/codes/bulk - CodeRequest 13필드+created+updated 건수+명령버튼+에러메시지 / Upsert,EI,1,17,Average,4,
admin,자격등급 목록 조회,GET /api/admin/auth-grades - AuthGradeResponse 10필드+에러메시지 / FTR=자격등급 ILF+사용자 ILF,EQ,2,11,Average,4,
admin,자격등급 등록,POST /api/admin/auth-grades - AuthGradeRequest 4필드+명령버튼+에러메시지 / ATH_ID 중복 검증,EI,1,6,Low,3,
admin,자격등급 수정,PUT /api/admin/auth-grades/{athId} - AuthGradeRequest 4필드+명령버튼+에러메시지,EI,1,6,Low,3,
admin,자격등급 논리삭제,DELETE /api/admin/auth-grades/{athId} - athId+명령버튼+에러메시지,EI,1,3,Low,3,
admin,역할 목록 조회,GET /api/admin/roles - RoleResponse 10필드+에러메시지 / FTR=역할 ILF+사용자 ILF 이름변환,EQ,2,11,Average,4,
admin,역할 등록,POST /api/admin/roles - RoleRequest 3필드+명령버튼+에러메시지 / 복합키 중복 검증,EI,1,5,Low,3,
admin,역할 수정,PUT /api/admin/roles/{athId}/{eno} - RoleRequest 3필드+명령버튼+에러메시지,EI,1,5,Low,3,
admin,역할 논리삭제,DELETE /api/admin/roles/{athId}/{eno} - athId+eno+명령버튼+에러메시지,EI,1,4,Low,3,
admin,사용자 목록 조회(관리자),GET /api/admin/users - UserResponse 12필드+에러메시지 / FTR=사용자 ILF+조직 ILF 팀명과 부점명,EQ,2,13,Average,4,
admin,사용자 등록(관리자),POST /api/admin/users - UserRequest 9필드+명령버튼+에러메시지 / ENO 중복 검증,EI,1,11,Low,3,
admin,사용자 수정(관리자),PUT /api/admin/users/{eno} - UserRequest 9필드+명령버튼+에러메시지 / password 포함 시 비밀번호 변경,EI,1,11,Low,3,
admin,사용자 논리삭제(관리자),DELETE /api/admin/users/{eno} - eno+명령버튼+에러메시지,EI,1,3,Low,3,
admin,조직 목록 조회(관리자),GET /api/admin/organizations - OrgResponse 11필드+에러메시지 / FTR=조직 ILF+사용자 ILF,EQ,2,12,Average,4,
admin,조직 등록,POST /api/admin/organizations - OrgRequest 5필드+명령버튼+에러메시지 / 조직코드 중복 검증,EI,1,7,Low,3,
admin,조직 수정,PUT /api/admin/organizations/{orgC} - OrgRequest 5필드+명령버튼+에러메시지,EI,1,7,Low,3,
admin,조직 논리삭제,DELETE /api/admin/organizations/{orgC} - orgC+명령버튼+에러메시지,EI,1,3,Low,3,
admin,로그인 이력 조회(관리자),GET /api/admin/login-history - LoginHistoryResponse 8필드+페이지 파라미터 3+에러메시지 / FTR=로그인이력 ILF+사용자 ILF,EQ,2,12,Average,4,
admin,JWT 갱신토큰 목록 조회,GET /api/admin/tokens - TokenResponse 5필드+에러메시지 / 토큰값 앞 20자 마스킹 파생이 개입하여 EO / FTR=토큰 ILF+사용자 ILF,EO,2,6,Average,5,
admin,첨부파일 목록 조회(관리자),GET /api/admin/files - FileResponse 7필드+에러메시지 / FTR=첨부파일 ILF+사용자 ILF,EQ,2,8,Average,4,
admin,일별 로그인 통계,GET /api/admin/dashboard/login-stats - date+count+에러메시지 / 최근 30일 집계 파생,EO,1,3,Low,4,
log,상세 로그 테이블 목록 조회,GET /api/admin/logs/tables - LogTableResponse 4필드+에러메시지 / 대표 감사로그 아카이브 ILF의 메타 조회로 처리,EQ,1,5,Low,3,
log,상세 로그 목록 조회,GET /api/admin/logs/{logKey} - 로그 테이블별 컬럼 메타 동적 파생과 사번에서 이름 변환이 개입하여 EO / FTR=감사로그 아카이브 ILF+사용자 ILF,EO,2,19,Average,5,
log,상세 로그 단건 조회,GET /api/admin/logs/{logKey}/{logSno} - 컬럼 메타 파생 개입으로 EO / FTR=감사로그 아카이브 ILF+사용자 ILF,EO,2,14,Average,5,
log,통합 실시간 로그 모니터링,GET /api/admin/realtime-logs - 35개 로그 테이블 UNION 증분 조회와 최근 5분 및 30분 분당 집계 파생으로 EO / FTR=감사로그 아카이브 대표 ILF,EO,1,18,Low,4,
ai,Gemini AI 응답 생성,POST /api/gemini/generate - 외부 Gemini API 실시간 호출 결과와 첨부파일 Base64 인코딩 가공이 개입하여 EO / FTR=Gemini EIF+첨부파일 ILF,EO,2,9,Average,5,
